"USAF","WBAN","STNID","STN_NAME","CTRY","STATE","CALL","LAT","LON","ELEV_M","ELEV_M_SRTM_90m","BEGIN","END","YEARMODA","YEAR","MONTH","DAY","YDAY","TEMP","TEMP_CNT","DEWP","DEWP_CNT","SLP","SLP_CNT","STP","STP_CNT","VISIB","VISIB_CNT","WDSP","WDSP_CNT","MXSPD","GUST","MAX","MAX_FLAG","MIN","MIN_FLAG","PRCP","PRCP_FLAG","SNDP","I_FOG","I_RAIN_DRIZZLE","I_SNOW_ICE","I_HAIL","I_THUNDER","I_TORNADO_FUNNEL","EA","ES","RH","STP_kPa"
"724088","13707","724088-13707","DOVER AFB AIRPORT","US","DE","KDOV",39.133,-75.467,8.5,6,19421201,20171212,2017-01-01,"2017","01","01",1,7.8,21,-1.1,21,1021.2,19,1019.8,19,16.1,21,3.9,21,9.8,16,11.8,NA,3.7,NA,0,"H",NA,0,1,0,0,0,0,0.6,1.1,54.5,101.98
"724088","13707","724088-13707","DOVER AFB AIRPORT","US","DE","KDOV",39.133,-75.467,8.5,6,19421201,20171212,2017-01-02,"2017","01","02",2,5.4,24,4.5,24,1028.4,12,1026.6,24,12.6,24,4.4,24,6.2,9.3,11.8,NA,1.9,NA,5.8,"G",NA,0,1,0,0,0,0,0.8,0.9,88.9,102.66
"724088","13707","724088-13707","DOVER AFB AIRPORT","US","DE","KDOV",39.133,-75.467,8.5,6,19421201,20171212,2017-01-03,"2017","01","03",3,7.3,24,7.3,24,1019.3,5,1013,24,12.1,24,4,24,5.7,NA,10,"*",5.9,"*",9.4,"G",NA,0,1,0,0,0,0,1,1,100,101.3
"724088","13707","724088-13707","DOVER AFB AIRPORT","US","DE","KDOV",39.133,-75.467,8.5,6,19421201,20171212,2017-01-04,"2017","01","04",4,8.7,24,7.4,24,1002.1,11,999.8,24,14.8,24,4.6,24,7.7,12.9,13.2,NA,6.4,NA,11.9,"G",NA,0,1,0,0,0,0,1,1.1,90.9,99.98
"724088","13707","724088-13707","DOVER AFB AIRPORT","US","DE","KDOV",39.133,-75.467,8.5,6,19421201,20171212,2017-01-05,"2017","01","05",5,1.1,24,-7.8,24,1013.8,20,1012.4,24,15.9,24,4.2,24,8.2,11.3,13.2,NA,-1.5,NA,0,"G",NA,0,0,1,0,0,0,0.3,0.7,42.9,101.24
"724088","13707","724088-13707","DOVER AFB AIRPORT","US","DE","KDOV",39.133,-75.467,8.5,6,19421201,20171212,2017-01-06,"2017","01","06",6,-0.5,24,-2.7,24,1017.7,19,1015.4,24,15.3,24,3.4,24,6.2,NA,2.3,NA,-1.5,NA,0,"H",NA,0,0,1,0,0,0,0.5,0.6,83.3,101.54
"724088","13707","724088-13707","DOVER AFB AIRPORT","US","DE","KDOV",39.133,-75.467,8.5,6,19421201,20171212,2017-01-07,"2017","01","07",7,-4.6,24,-7.7,24,1025.2,10,1022.5,24,9.7,24,6.2,24,10.3,12.4,0.8,NA,-7.3,NA,0,"G",200.7,0,0,1,0,0,0,0.3,0.4,75,102.25
"724088","13707","724088-13707","DOVER AFB AIRPORT","US","DE","KDOV",39.133,-75.467,8.5,6,19421201,20171212,2017-01-08,"2017","01","08",8,-7.7,24,-14.5,24,1028.8,22,1027.2,24,15,24,5.9,24,9.8,13.4,-2.9,NA,-10.5,NA,13,"G",99.1,0,0,1,0,0,0,0.2,0.3,66.7,102.72
"724088","13707","724088-13707","DOVER AFB AIRPORT","US","DE","KDOV",39.133,-75.467,8.5,6,19421201,20171212,2017-01-09,"2017","01","09",9,-8.3,24,-14.6,24,1040.2,24,1038.8,24,16.1,24,2.7,24,5.1,NA,-5,NA,-12.5,NA,0,"G",99.1,0,0,0,0,0,0,0.2,0.3,66.7,103.88
"724088","13707","724088-13707","DOVER AFB AIRPORT","US","DE","KDOV",39.133,-75.467,8.5,6,19421201,20171212,2017-01-10,"2017","01","10",10,-5.3,24,-9.1,24,1035.4,24,1034,24,16.1,24,2.7,24,4.6,NA,2.3,NA,-12.5,NA,0,"I",78.7,0,0,0,0,0,0,0.3,0.4,75,103.4
