headspace_sample_id,source_gas_sample_id
KLH 576,KLH Feb18 QBair
KLH 596,KLH Feb18 QBair
KLH 584,KLH Feb18 QBair
KLH 542,KLH 519
KLH 527,KLH 519
KLH 516,KLH 519
KLH 504,KLH 506
KLH 548,KLH 506
KLH 595,KLH 506
KLH 509,KLH 501
KLH 510,KLH 501
KLH 512,KLH 501
KLH 528,KLH 501
KLH 524,KLH 501
KLH 502,KLH 501
KLH 685,KLH 620
KLH 653,KLH 620
KLH 695,KLH 620
KLH Feb18xx105,KLH 521
KLH Feb18xx106,KLH 521
KLH Feb18xx107,KLH 521
KLH 594,KLH 521
KLH Feb18xx108,KLH 521
KLH Feb18xx101,KLH 521
KLH Feb18xx102,KLH 521
KLH Feb18xx103,KLH 521
